BottomRight,TopRight,TopLeft,BottomLeft
"('52.562334750000005', '-0.5290587500000001')","('52.562334750000005', '1.757858')","('49.919716', '1.757858')",
"('55.2049535', '-0.5290587500000001')","('55.2049535', '1.757858')","('52.562334750000005', '1.757858')",
"('57.84757225', '-0.5290587500000001')","('57.84757225', '1.757858')","('55.2049535', '1.757858')",
"('60.490190999999996', '-0.5290587500000001')","('60.490190999999996', '1.757858')","('57.84757225', '1.757858')",
"('52.562334750000005', '-2.8159755000000004')","('52.562334750000005', '-0.5290587500000001')","('49.919716', '-0.5290587500000001')",
"('55.2049535', '-2.8159755000000004')","('55.2049535', '-0.5290587500000001')","('52.562334750000005', '-0.5290587500000001')",
"('57.84757225', '-2.8159755000000004')","('57.84757225', '-0.5290587500000001')","('55.2049535', '-0.5290587500000001')",
"('60.490190999999996', '-2.8159755000000004')","('60.490190999999996', '-0.5290587500000001')","('57.84757225', '-0.5290587500000001')",
"('52.562334750000005', '-5.10289225')","('52.562334750000005', '-2.8159755000000004')","('49.919716', '-2.8159755000000004')",
"('55.2049535', '-5.10289225')","('55.2049535', '-2.8159755000000004')","('52.562334750000005', '-2.8159755000000004')",
"('57.84757225', '-5.10289225')","('57.84757225', '-2.8159755000000004')","('55.2049535', '-2.8159755000000004')",
"('60.490190999999996', '-5.10289225')","('60.490190999999996', '-2.8159755000000004')","('57.84757225', '-2.8159755000000004')",
"('52.562334750000005', '-7.389809')","('52.562334750000005', '-5.10289225')","('49.919716', '-5.10289225')",
"('55.2049535', '-7.389809')","('55.2049535', '-5.10289225')","('52.562334750000005', '-5.10289225')",
"('57.84757225', '-7.389809')","('57.84757225', '-5.10289225')","('55.2049535', '-5.10289225')",
"('60.490190999999996', '-7.389809')","('60.490190999999996', '-5.10289225')","('57.84757225', '-5.10289225')",
