Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-3.500298,50.704186,3,20/01/2016,4,03:46,4,1,4,0,1
-3.520149,50.714577,3,02/02/2016,3,13:04,1,1,2,0,1
-3.578074,50.475933,3,25/01/2016,2,14:30,1,1,2,0,2
-3.508051,50.708367,3,27/01/2016,4,08:36,1,1,2,0,1
-3.509448,50.53997,3,28/01/2016,5,19:58,4,1,2,0,2
-3.526105,50.72959,3,28/01/2016,5,19:15,4,1,1,0,1
-3.644054,50.554084,3,28/01/2016,5,10:07,1,8,2,0,2
-3.81539,51.025936,3,06/01/2016,4,00:45,6,8,2,7,2
-3.590656,50.445587,3,01/02/2016,2,12:21,1,1,2,0,1
-3.589453,50.461819,2,02/02/2016,3,07:43,1,1,2,0,2
-3.525404,50.461885,3,04/02/2016,5,19:05,4,1,1,0,1
-3.557661,50.431607,3,03/02/2016,4,10:48,1,1,1,0,1
-3.178791,50.799521,3,03/02/2016,4,11:00,1,1,2,0,1
-3.590649,50.444526,3,07/02/2016,1,11:45,1,1,1,0,2
-3.701785,50.681102,2,06/02/2016,7,11:50,1,5,2,0,2
-3.179861,50.804232,3,08/02/2016,2,17:57,6,2,2,0,2
-3.654482,50.565224,3,10/02/2016,4,20:11,4,1,2,0,2
-3.577318,50.480341,3,06/02/2016,7,10:33,1,5,2,0,2
-3.540455,50.468945,3,18/02/2016,5,06:33,4,1,1,0,1
-3.356422,50.917748,2,15/02/2016,2,06:15,6,1,1,0,2
-3.865398,50.398244,3,08/02/2016,2,21:27,6,4,2,0,2
-3.439453,50.91554,3,14/02/2016,1,18:23,1,1,1,0,2
-3.681133,50.954309,3,18/02/2016,5,16:07,1,1,1,0,2
-3.525159,50.742356,3,20/02/2016,7,10:20,1,1,2,0,1
-3.595183,50.546211,3,25/02/2016,5,15:30,1,1,1,0,1
-3.408261,50.618673,2,21/02/2016,1,09:20,1,1,1,0,1
-3.768304,50.487354,2,26/02/2016,6,18:46,4,1,1,0,2
-3.517812,50.71941,3,03/02/2016,4,17:07,4,1,1,0,1
-3.781382,50.289391,3,02/03/2016,4,08:40,1,2,2,0,2
-2.981605,50.798397,3,02/03/2016,4,09:00,1,5,2,0,2
-3.045689,50.727856,2,03/03/2016,5,23:15,6,8,2,0,2
-3.10285,50.869087,3,02/03/2016,4,07:47,1,5,2,0,2
-3.525013,50.728696,3,24/02/2016,4,21:10,4,1,1,0,1
-3.576752,50.430675,3,03/03/2016,5,15:23,1,1,1,0,1
-3.513395,50.550847,3,26/02/2016,6,09:05,1,1,1,0,1
